Mass Spring Dampener Position Data - Oct.31.2023. Oct 31, 2023 1:41 PM
Time (s)	Distance (cm)	Dist Error (cm)
7.720	27.718	0.239
7.730	27.800	0.239
7.740	27.848	0.239
7.750	27.857	0.239
7.760	27.835	0.239
7.770	27.767	0.239
7.780	27.673	0.239
7.790	27.548	0.239
7.800	27.394	0.239
7.810	27.205	0.239
7.820	26.969	0.239
7.830	26.741	0.239
7.840	26.484	0.239
7.850	26.192	0.239
7.860	25.874	0.239
7.870	25.560	0.239
7.880	25.191	0.239
7.890	24.817	0.239
7.900	24.461	0.239
7.910	24.070	0.239
7.920	23.670	0.239
7.930	23.279	0.239
7.940	22.879	0.239
7.950	22.446	0.239
7.960	22.068	0.239
7.970	21.707	0.239
7.980	21.371	0.239
7.990	21.036	0.239
8.000	20.697	0.239
8.010	20.375	0.239
8.020	20.062	0.239
8.030	19.799	0.239
8.040	19.589	0.239
8.050	19.344	0.239
8.060	19.186	0.239
8.070	19.018	0.239
8.080	18.932	0.239
8.090	18.830	0.239
8.100	18.766	0.239
8.110	18.757	0.239
8.120	18.779	0.239
8.130	18.865	0.239
8.140	18.956	0.239
8.150	19.047	0.239
8.160	19.224	0.239
8.170	19.383	0.239
8.180	19.628	0.239
8.190	19.852	0.239
8.200	20.102	0.239
8.210	20.420	0.239
8.220	20.730	0.239
8.230	21.066	0.239
8.240	21.402	0.239
8.250	21.750	0.239
8.260	22.129	0.239
8.270	22.542	0.239
8.280	22.934	0.239
8.290	23.330	0.239
8.300	23.721	0.239
8.310	24.087	0.239
8.320	24.470	0.239
8.330	24.845	0.239
8.340	25.180	0.239
8.350	25.529	0.239
8.360	25.856	0.239
8.370	26.161	0.239
8.380	26.445	0.239
8.390	26.708	0.239
8.400	26.945	0.239
8.410	27.147	0.239
8.420	27.324	0.239
8.430	27.471	0.239
8.440	27.583	0.239
8.450	27.664	0.239
8.460	27.712	0.239
8.470	27.726	0.239
8.480	27.704	0.239
8.490	27.649	0.239
8.500	27.563	0.239
8.510	27.443	0.239
8.520	27.289	0.239
8.530	27.108	0.239
8.540	26.893	0.239
8.550	26.640	0.239
8.560	26.378	0.239
8.570	26.104	0.239
8.580	25.794	0.239
8.590	25.463	0.239
8.600	25.120	0.239
8.610	24.755	0.239
8.620	24.407	0.239
8.630	24.029	0.239
8.640	23.642	0.239
8.650	23.255	0.239
8.660	22.864	0.239
8.670	22.452	0.239
8.680	22.070	0.239
8.690	21.730	0.239
8.700	21.370	0.239
8.710	21.026	0.239
8.720	20.699	0.239
8.730	20.425	0.239
8.740	20.102	0.239
8.750	19.854	0.239
8.760	19.626	0.239
8.770	19.385	0.239
8.780	19.239	0.239
8.790	19.064	0.239
8.800	18.978	0.239
8.810	18.896	0.239
8.820	18.832	0.239
8.830	18.824	0.239
8.840	18.850	0.239
8.850	18.911	0.239
8.860	18.984	0.239
8.870	19.088	0.239
8.880	19.273	0.239
8.890	19.424	0.239
8.900	19.673	0.239
8.910	19.902	0.239
8.920	20.130	0.239
8.930	20.435	0.239
8.940	20.750	0.239
8.950	21.068	0.239
8.960	21.413	0.239
8.970	21.770	0.239
8.980	22.136	0.239
8.990	22.557	0.239
9.000	22.944	0.239
9.010	23.323	0.239
9.020	23.711	0.239
9.030	24.098	0.239
9.040	24.468	0.239
9.050	24.842	0.239
9.060	25.230	0.239
9.070	25.574	0.239
9.080	25.875	0.239
9.090	26.185	0.239
9.100	26.473	0.239
9.110	26.715	0.239
9.120	26.947	0.239
9.130	27.154	0.239
9.140	27.335	0.239
9.150	27.481	0.239
9.160	27.598	0.239
9.170	27.680	0.239
