Position Uncertainty Oct 31, 2023 2:36 PM
Time (s)	Distance (cm)	Dist Error (cm)
8.440	15.390	0.239
8.450	15.390	0.239
8.460	15.390	0.239
8.470	15.391	0.239
8.480	15.391	0.239
8.490	15.391	0.239
8.500	15.392	0.239
8.510	15.392	0.239
8.520	15.393	0.239
8.530	15.393	0.239
8.540	15.394	0.239
8.550	15.394	0.239
8.560	15.394	0.239
8.570	15.394	0.239
8.580	15.395	0.239
8.590	15.395	0.239
8.600	15.396	0.239
8.610	15.396	0.239
8.620	15.397	0.239
8.630	15.384	0.239
8.640	15.385	0.239
8.650	15.385	0.239
8.660	15.385	0.239
8.670	15.386	0.239
8.680	15.386	0.239
8.690	15.386	0.239
8.700	15.387	0.239
8.710	15.387	0.239
8.720	15.388	0.239
8.730	15.388	0.239
8.740	15.388	0.239
8.750	15.389	0.239
8.760	15.389	0.239
8.770	15.390	0.239
8.780	15.390	0.239
8.790	15.391	0.239
8.800	15.391	0.239
8.810	15.391	0.239
8.820	15.391	0.239
8.830	15.392	0.239
8.840	15.392	0.239
8.850	15.393	0.239
8.860	15.393	0.239
8.870	15.394	0.239
8.880	15.394	0.239
8.890	15.394	0.239
8.900	15.395	0.239
8.910	15.395	0.239
8.920	15.396	0.239
8.930	15.396	0.239
8.940	15.396	0.239
8.950	15.384	0.239
8.960	15.384	0.239
8.970	15.385	0.239
8.980	15.385	0.239
8.990	15.385	0.239
9.000	15.386	0.239
9.010	15.386	0.239
9.020	15.387	0.239
9.030	15.387	0.239
9.040	15.388	0.239
9.050	15.388	0.239
9.060	15.388	0.239
9.070	15.388	0.239
9.080	15.389	0.239
9.090	15.389	0.239
9.100	15.390	0.239
9.110	15.390	0.239
9.120	15.391	0.239
9.130	15.391	0.239
9.140	15.391	0.239
9.150	15.392	0.239
9.160	15.392	0.239
9.170	15.392	0.239
9.180	15.393	0.239
9.190	15.393	0.239
9.200	15.394	0.239
9.210	15.394	0.239
9.220	15.394	0.239
9.230	15.395	0.239
9.240	15.395	0.239
9.250	15.396	0.239
9.260	15.396	0.239
9.270	15.397	0.239
9.280	15.384	0.239
9.290	15.384	0.239
9.300	15.385	0.239
9.310	15.385	0.239
9.320	15.385	0.239
9.330	15.386	0.239
9.340	15.386	0.239
9.350	15.387	0.239
9.360	15.387	0.239
9.370	15.388	0.239
9.380	15.388	0.239
9.390	15.388	0.239
9.400	15.389	0.239
9.410	15.389	0.239
9.420	15.389	0.239
9.430	15.390	0.239
9.440	15.390	0.239
9.450	15.391	0.239
9.460	15.391	0.239
9.470	15.391	0.239
9.480	15.392	0.239
9.490	15.392	0.239
9.500	15.393	0.239
9.510	15.393	0.239
9.520	15.394	0.239
9.530	15.394	0.239
9.540	15.394	0.239
9.550	15.394	0.239
9.560	15.395	0.239
9.570	15.395	0.239
9.580	15.396	0.239
9.590	15.396	0.239
9.600	15.397	0.239
9.610	15.384	0.239
9.620	15.385	0.239
9.630	15.385	0.239
9.640	15.385	0.239
9.650	15.385	0.239
9.660	15.386	0.239
9.670	15.386	0.239
9.680	15.387	0.239
9.690	15.387	0.239
9.700	15.388	0.239
9.710	15.388	0.239
9.720	15.388	0.239
9.730	15.389	0.239
9.740	15.389	0.239
9.750	15.390	0.239
9.760	15.390	0.239
9.770	15.390	0.239
9.780	15.391	0.239
9.790	15.391	0.239
9.800	15.391	0.239
9.810	15.392	0.239
9.820	15.392	0.239
9.830	15.393	0.239
9.840	15.393	0.239
9.850	15.394	0.239
9.860	15.394	0.239
9.870	15.394	0.239
9.880	15.395	0.239
9.890	15.395	0.239
9.900	15.395	0.239
9.910	15.396	0.239
9.920	15.396	0.239
9.930	15.384	0.239
9.940	15.384	0.239
9.950	15.385	0.239
9.960	15.385	0.239
9.970	15.385	0.239
9.980	15.386	0.239
9.990	15.386	0.239
