Mass Spring Only Mass Position Data Oct 31, 2023 1:49 PM
Time (s)	Distance (cm)	Dist Error (cm)
6.930	27.637	0.239
6.940	27.512	0.239
6.950	27.362	0.239
6.960	27.186	0.239
6.970	26.967	0.239
6.980	26.740	0.239
6.990	26.486	0.239
7.000	26.216	0.239
7.010	25.924	0.239
7.020	25.619	0.239
7.030	25.297	0.239
7.040	24.966	0.239
7.050	24.627	0.239
7.060	24.283	0.239
7.070	23.940	0.239
7.080	23.592	0.239
7.090	23.253	0.239
7.100	22.913	0.239
7.110	22.587	0.239
7.120	22.269	0.239
7.130	21.969	0.239
7.140	21.690	0.239
7.150	21.423	0.239
7.160	21.170	0.239
7.170	20.942	0.239
7.180	20.758	0.239
7.190	20.578	0.239
7.200	20.445	0.239
7.210	20.329	0.239
7.220	20.244	0.239
7.230	20.192	0.239
7.240	20.176	0.239
7.250	20.185	0.239
7.260	20.228	0.239
7.270	20.297	0.239
7.280	20.409	0.239
7.290	20.539	0.239
7.300	20.702	0.239
7.310	20.875	0.239
7.320	21.099	0.239
7.330	21.335	0.239
7.340	21.589	0.239
7.350	21.874	0.239
7.360	22.175	0.239
7.370	22.489	0.239
7.380	22.812	0.239
7.390	23.148	0.239
7.400	23.492	0.239
7.410	23.837	0.239
7.420	24.185	0.239
7.430	24.530	0.239
7.440	24.866	0.239
7.450	25.201	0.239
7.460	25.520	0.239
7.470	25.834	0.239
7.480	26.127	0.239
7.490	26.402	0.239
7.500	26.661	0.239
7.510	26.897	0.239
7.520	27.104	0.239
7.530	27.290	0.239
7.540	27.449	0.239
7.550	27.578	0.239
7.560	27.674	0.239
7.570	27.743	0.239
7.580	27.781	0.239
7.590	27.790	0.239
7.600	27.765	0.239
7.610	27.705	0.239
7.620	27.620	0.239
7.630	27.504	0.239
7.640	27.354	0.239
7.650	27.170	0.239
7.660	26.968	0.239
7.670	26.740	0.239
7.680	26.496	0.239
7.690	26.225	0.239
7.700	25.941	0.239
7.710	25.637	0.239
7.720	25.323	0.239
7.730	24.992	0.239
7.740	24.657	0.239
7.750	24.318	0.239
7.760	23.975	0.239
7.770	23.635	0.239
7.780	23.292	0.239
7.790	22.961	0.239
7.800	22.635	0.239
7.810	22.321	0.239
7.820	22.021	0.239
7.830	21.737	0.239
7.840	21.471	0.239
7.850	21.222	0.239
7.860	21.003	0.239
7.870	20.806	0.239
7.880	20.630	0.239
7.890	20.488	0.239
7.900	20.377	0.239
7.910	20.287	0.239
7.920	20.236	0.239
7.930	20.210	0.239
7.940	20.219	0.239
7.950	20.258	0.239
7.960	20.327	0.239
7.970	20.431	0.239
7.980	20.556	0.239
7.990	20.707	0.239
8.000	20.888	0.239
8.010	21.104	0.239
8.020	21.340	0.239
8.030	21.590	0.239
8.040	21.866	0.239
8.050	22.163	0.239
8.060	22.473	0.239
8.070	22.796	0.239
8.080	23.127	0.239
